Session ID,Session Start Date,Session End Date,Session Duration,Session Location,Session Talent,Session QA,Session Day,Film ID,Film International Title,Film Original Title,Film Year,Film Duration,Film Directors,Director Biography,Film Synopsis (en),Film Credits (en),Film Genres,Film Sections,Film Categories,Film Awards,Film Types,Film Languages,Film Countries,Film URL
2263-film_session,2025-10-09T14:30:00,2025-10-09T16:10:00,100,Cinema Escorxador,False,False,2025-10-09,12156-film,Memory Hotel,Memory Hotel,2024,100,Heinrich Sabl,"With a background in the world of theater and puppetry, Memory Hotel is his debut feature film as a director following several short films.","May 1945: a five-year-old girl named Sophie and her parents try to flee from the Russian front. During their escape, they stop at a hotel, where they encounter two Nazis. Following a fight, Sophie loses both her parents and her memory. Shortly afterwards, the Soviet army finds Sophie and turns her into a cook. Decades later, Sophie regains her memory when she runs into one of the Nazis from the hotel. A gem in European stop-motion animation with surreal overtones.","<strong>Director</strong><br />Heinrich Sabl<br /><br /><strong>Writer</strong>&nbsp;<br />Heinrich Sabl&nbsp;<br /><br /><strong>Cinematographer</strong>&nbsp;<br />Heinrich Sabl&nbsp;<br /><br /><strong>Editor</strong>&nbsp;<br />Enrico Basl&nbsp;<br /><br /><strong>With</strong>&nbsp;<br />Svenja Liesau, Dagmar Manzel, Elsa Seusing&nbsp;",Fiction,Anima't,,,Feature film,German; Russian,Germany; France,https://sitgesfilmfestival.com/en/film/2025/memory-hotel
2196-film_session,2025-10-09T14:45:00,2025-10-09T16:07:00,82,Sala Tramuntana Meliá,False,False,2025-10-09,13274-film,The True Beauty of Being Bitten by a Tick,The True Beauty of Being Bitten by a Tick,2025,82,Pete Ohs,"Trained in the field of editing, he has directed feature films that have garnered awards at festivals such as Everything Beautiful Is Far Away (2017) and Jethica (2022).",A woman visits her friend's countryside home and joins a small group of guests to experience what promises to be a relaxed weekend of fine dining and games. But everything is going to change when she&rsquo;s bitten by a tick and a series of disturbing events are set in motion that will wind up turning their idyllic retreat into something sinister. A highly disturbing indie horror movie that was a big hit at the most recent SXSW film festival.,"<p><strong>Director</strong><br />Pete Ohs<br /><br /><strong>Writer</strong><br />Pete Ohs, Callie Hernandez, Jeremy O. Harris, Zo&euml; Chao, James Cusati-Moyer&nbsp;<br /><br /><strong>Cinematographer</strong><br />Pete Ohs&nbsp;<br /><br /><strong>Editor</strong><br />Pete Ohs&nbsp;<br /></p><p><strong>With</strong></p><p>Zo&euml; Chao, Callie Hernandez, Jeremy O. Harris&nbsp;</p>&nbsp;&nbsp;&nbsp;&nbsp;",Fiction,Noves Visions,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2025/true-beauty-being-bitten-tick
2531-film_session,2025-10-09T15:00:00,2025-10-09T16:44:00,104,Sala Auditori Meliá,True,False,2025-10-09,13221-film,Shelby Oaks,Shelby Oaks,2024,99,,,,,Fiction,Panorama - Inauguració,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2025/shelby-oaks
2381-film_session,2025-10-09T16:30:00,2025-10-09T18:06:00,96,Sala Tramuntana Meliá,False,False,2025-10-09,12147-film,The Virgin of the Quarry Lake,La virgen de la tosquera,2025,96,Laura Casabé,"Argentinian filmmaker who has become one of the most prominent voices in contemporary fantastique, with films that include Benavídez's Case (2016) and The Returned (2019).","Buenos Aires. All three of them are in love with Diego, their lifelong friend. But then &ldquo;their&rdquo; Diego meets Silvia at an online chat room. Natalia, with the help of her grandmother Rita, casts a spell on Diego and Silvia. The spell doesn&rsquo;t work, but from that moment on, something new and unknown manifests itself inside Natalia. The first and long-awaited film adaptation of Mariana Enr&iacute;quez&rsquo;s literary work.","<p><strong>Director</strong></p><p><strong></strong>Laura Casab&eacute;</p><p><br /><strong>Writer</strong>&nbsp;<br />Benjam&iacute;n Naishtat&nbsp;<br /><br /><strong>Cinematograph</strong>&nbsp;<br />Diego Tenorio&nbsp;<br /><br /><strong>Editor</strong>&nbsp;<br />Ana Rem&oacute;n, Miguel Schverdfinger&nbsp;<br /><br /><strong>With</strong>&nbsp;<br />Dolores Oliverio, Luisa Merelas, Fernanda Echevarr&iacute;a&nbsp;</p>",Fiction,Oficial Fantàstic Competició,,,Feature film,Spanish,Argentina; Mexico; Spain,https://sitgesfilmfestival.com/en/film/2025/virgen-tosquera
2412-film_session,2025-10-09T16:45:00,2025-10-09T18:34:00,109,Cinema Escorxador,True,True,2025-10-09,12136-film,About a Hero,About a Hero,2024,84,Piotr Winiewicz,"Artist, filmmaker, and set designer, he graduated from the Academy of Fine Arts Vienna. His debut film, About a Hero, opened the International Documentary Film Festival Amsterdam","Following the death of a worker under mysterious circumstances, filmmaker Werner Herzog travels to Getunkirchenburg to investigate his perplexing demise. But Herzog, our narrator, isn&rsquo;t who he appears to be, and the film isn&rsquo;t what we were expecting either. A combination of artificial intelligence and the German director's work, About a Hero comes across as an unsettling experience that raises questions about a world where AI is more and more pervasive.","<strong>Director</strong><br />Piotr Winiewicz<br /><br /><strong>Writer</strong>&nbsp;<br />Anna Juul, Piotr Winiewicz&nbsp;<br /><br /><strong>Cinematographer</strong>&nbsp;<br />Emil Aagaard&nbsp;<br /><br /><strong>Editor</strong>&nbsp;<br />Michael Aaglund, Julius Krebs Damsbo&nbsp;<br /><br /><strong>With</strong>&nbsp;<br />Imme Beccard, Steffen B&ouml;ye, Thomas Ebert&nbsp;",Documentary,Noves Visions - Sessió Especial,,,Feature film,English; German,Denmark; United States of America (the); Germany,https://sitgesfilmfestival.com/en/film/2025/about-hero
2151-film_session,2025-10-09T18:00:00,2025-10-09T20:28:00,148,Cinema Casino Prado,True,False,2025-10-09,12197-film,Bokshi,Bokshi,2025,143,Bhargav Saikia,"Cineasta establert a Bombai, Bokshi és la seva primera pel·lícula com a director, estrenada mundialment al passat Festival Internacional de Cinema de Rotterdam.","Anahita, traumatized by her mother's brutal disappearance, finds comfort in Shalini, her history teacher. While on an unconventional school trip to a mysterious prehistoric site, she will find herself forced to confront her terrifying destiny. Filmmaking from India joins the current revival of folk horror with a production that has been compared to other recent hits from this subgenre, such as Midsommar and In the Earth.<br /><br />&nbsp;<br /><br />&nbsp;","<p><strong>Director</strong><br />Bhargav Saikia&nbsp;<br /><strong>Writer</strong></p><p>Harsh Vaibhav&nbsp;<br /><br /><strong>Cinematograph</strong>&nbsp;<br />Siddharth Sivasankaran, A. Vasanth&nbsp;<br /><br /><strong>Editor&nbsp;</strong><br />Himanshu Chutia Saikia&nbsp;<br /><br /><strong>With</strong><br />Prasanna Bisht, Mansi Multani, Dagi Ngomdir&nbsp;<br /><br /></p>&nbsp;",Fiction,Panorama,,,Feature film,Hindi; English; Nepali; Invented Language,India,https://sitgesfilmfestival.com/en/film/2025/bokshi
2214-film_session,2025-10-09T18:00:00,2025-10-09T19:27:00,87,Sala Llevant,False,False,2025-10-09,13296-film,Two Thousand Maniacs!,Two Thousand Maniacs!,1964,87,,,"A group of American tourists take a detour and arrive in Pleasant Valley, a town that has magically reemerged a hundred years after its destruction during the American Civil War. Welcomed by the locals as guests of honor at their party, they are unaware that the celebration includes torture, death, and dismemberment.",<strong>Director</strong><br />Herschell Gordon Lewis ,,Brigadoon,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2025/two-thousand-maniacs
2377-film_session,2025-10-09T18:30:00,2025-10-09T20:18:00,108,Sala Tramuntana Meliá,False,False,2025-10-09,12154-film,Mother's Baby,Mother's Baby,2025,108,Johanna Moder,Austrian director and screenwriter trained at the Film Academy Vienna. She has directed feature films including High Performance (2014) and Once Were Rebels (2019).,"Julia, a 40-year-old orchestra conductor, and her partner, Georg, are longing to have a baby when Dr. Vilfort offers them hope. In fact, Julia gets pregnant after undergoing treatment at the clinic of a doctor who is a fertility specialist. But the birth doesn't go as planned and the baby is taken away immediately, leaving J&uacute;lia in the dark about what has really happened. When she&rsquo;s finally reunited with her son, J&uacute;lia senses a distance. And she begins to doubt that he&rsquo;s actually her son.","<p><strong>Director</strong></p><p>Johanna Moder<br /><br /><strong>Writer</strong>&nbsp;<br />Johanna Moder, Arne Kohlweyer&nbsp;<br /><br /><strong>Cinematograph</strong>&nbsp;<br />Robert Oberrainer&nbsp;<br /><br /><strong>Editor</strong>&nbsp;<br />Karin Hammer&nbsp;<br /><br /><strong>With</strong>&nbsp;<br />Marie Leuenberger, Hans L&ouml;w, Claes Bang&nbsp;</p>",Fiction,Oficial Fantàstic Competició,,,Feature film,German,Austria; Switzerland; Germany,https://sitgesfilmfestival.com/en/film/2025/mothers-baby
2474-film_session,2025-10-09T18:45:00,2025-10-09T22:03:00,198,Sala Auditori Meliá,True,False,2025-10-09,12139-film,Alpha,Alpha,2025,122,Julia Ducournau,,"Alpha is a 13-year-old girl who lives alone with her mother. Their world comes crashing down the day the young girl returns home with an A tattooed on her arm. A stimulating production that uses horror (both physical and metaphorical) to speak about the need to love and be loved. Featuring an extremely powerful cast, led by an unrecognizable Tahar Rahim and a chameleonic Golshifteh Farahani, Alpha explores new ways of speaking about family relationships and body modifications.","<strong>Director</strong><br />Julia Ducournau  <br /><strong>Writer</strong><br />Julia Ducournau  <br /><strong>Cinematography</strong><br />Ruben Impens  <br /><strong>Editor</strong><br />Jean-Christophe Bouzy  <br /><strong>With</strong><br />Tahar Rahim, Golshifteh Farahani, M&eacute;lissa Boros",Fiction,Inauguració,,,Feature film,French,France; Belgium,https://sitgesfilmfestival.com/en/film/2025/alpha
2198-film_session,2025-10-09T18:45:00,2025-10-09T21:02:00,137,Cinema Escorxador,False,False,2025-10-09,13276-film,The Vincent Price Legacy,The Vincent Price Legacy,2025,137,Laurent Ohmansiek,"With a background as a film editor, he has directed several documentaries about cinema, including the acclaimed Planet of the Tapes (2019).","A documentary that reveals the man who was behind the horror legend, giving a voice to his family, friends, filmmakers, colleagues, historians, and fans. This journey through his life and career, where key names in popular culture all associated with genre appear, including Rob Zombie, Alice Cooper, David Dastmalchian, and Joe Dante, demonstrates that Vincent Price's cinematic legacy and his impact on pop culture are still more alive than ever.","<strong>Director</strong><br />Laurent Ohmansiek<br /><br /><strong>Writer</strong>&nbsp;<br />Laurent Ohmansiek&nbsp;<br /><br /><strong>Cinematographer</strong>&nbsp;<br />Jim Kunz, Sara Appleton, Alexander Sommer&nbsp;<br /><br /><strong>Editor</strong>&nbsp;<br />The Vegan Satanist&nbsp;<br /><br /><strong>With</strong>&nbsp;<br />Victorcia Price, Mick Garris, Joe Dante&nbsp;",Documentary,Sitges Documenta,,,Feature film,English,Germany,https://sitgesfilmfestival.com/en/film/2025/vincent-price-legacy
