Session ID,Session Start Date,Session End Date,Session Duration,Session Location,Session Talent,Session QA,Session Day,Film ID,Film International Title,Film Original Title,Film Year,Film Duration,Film Directors,Director Biography,Film Synopsis (en),Film Credits (en),Film Genres,Film Sections,Film Categories,Film Awards,Film Types,Film Languages,Film Countries,Film URL
1822-film_session,2024-10-03T15:45:00,2024-10-03T17:51:00,126,Sala Tramuntana Meliá,False,False,2024-10-03,5954-film,Twilight of the Warriors: Walled In,Twilight of the Warriors: Walled In,2024,126,Soi Cheang,"Born in Macao in 1972, he made his film debut with Our Last Day (1999). He is known for films like Love Battlefield (2004) and Motorway (2012).","Chan Lok-kwun, a troubled young man living in 1980s Hong Kong, takes refuge in the walled city of Kowloon in order to pursue a better future for himself. There, he will try to make a living as a fighter around the illegal fighting circuit. After being swindled by the mafia kingpin Mr. Big, Lok-kwun will embark on a violent story of revenge under the watchful eye of Cyclone, an unexpected ally who is a martial arts expert.","<strong>Director</strong><br />Soi Cheang<br /><strong>Writer</strong><br />Kin-Yee Au, Tai-Lee Chan, Li Jun, Kwan-Sin Shum<br /><strong>Cinematographt</strong><br />Siu-Keung Cheng&nbsp;<br /><strong>Editor</strong><br />Ka-Fai Cheung&nbsp;<br /><strong>With</strong><br />Sammo Kam-Bo Hung, Louis Koo, Raymond Lam",Fiction,Oficial Fantàstic Competició,,,Feature film,Cantonese; Mandarin,Hong Kong,https://sitgesfilmfestival.com/en/film/2024/twilight-warriors-walled
1985-film_session,2024-10-03T16:00:00,2024-10-03T17:53:00,113,Cinema Casino Prado,True,False,2024-10-03,5880-film,The Moon Thieves,The Moon Thieves,2024,108,Yuen Kim Wai,,,,Fiction,Òrbita - Sessions Especials,,,Feature film,Cantonese,Hong Kong,https://sitgesfilmfestival.com/en/film/2024/moon-thieves
1880-film_session,2024-10-03T16:45:00,2024-10-03T18:05:00,80,Sala Auditori Meliá,False,False,2024-10-03,6004-film,El segundo acto (The Second Act),Le deuxième acte,2024,80,Quentin Dupieux,"A genius, quite the character and a true one-man band, as a teenager he began composing electronic music under the alias of Mr. Oizo. He debuted in 2006 with Steak and established himself with the unclassifiable Rubber (2010), Deerskin (2019) and Mandibles (2020).","Florence is in love with David and wants to introduce him to her father at a restaurant. David, who isn't in love with Florence, invites his friend Willy to the meal in the hope that he will seduce her and get her off his back. This would be a full-fledged comedy of errors if it weren't for the fact that behind the cameras is the always outrageous Quentin Dupieux, who on this occasion directs a chamber piece with the cr&egrave;me de la cr&egrave;me in French cinema.","<strong>Director</strong><br />Quentin Dupieux<br /><strong>Writer</strong><br />Quentin Dupieux<br /><strong>Cinematography</strong><br />Quentin Dupieux<br /><strong>Editor</strong><br />Quentin Dupieux<br /><strong>With</strong><br />L&eacute;a Seydoux, Vincent Lindon, Louis Garrel",Fiction,Oficial Fantàstic Competició,,,Feature film,French,France,https://sitgesfilmfestival.com/en/film/2024/segundo-acto-second-act
1661-film_session,2024-10-03T16:45:00,2024-10-03T18:20:00,95,Cinema Escorxador,True,False,2024-10-03,5857-film,Estela,Estela,2024,90,Adrián Araujo,"Trained as a director of photography in film and advertising, he now makes his directorial debut withEstela.","After getting pregnant, Susana moves to a lakeside house together with her husband. Instead of peace and quiet and a favorable environment conducive to raising a child, they encounter strange paranormal-like phenomena, which gradually escalate until the appearance of an evil presence and its previous victim, a ghost girl who answers to the name of Estela.","<strong>Director</strong><br />Adri&aacute;n Araujo<br /><strong>Writer</strong><br />Gil Espejo&nbsp;<br /><strong>Cinematography</strong><br />Adri&aacute;n Araujo&nbsp;<br /><strong>Editor</strong><br />Luis de la Madrid&nbsp;<br /><strong>With</strong><br />Mara L&oacute;pez, Cristian Gamero, Meteora Fontana&nbsp;",Fiction,Panorama,,,Feature film,Spanish,Mexico; Spain,https://sitgesfilmfestival.com/en/film/2024/estela
1614-film_session,2024-10-03T18:15:00,2024-10-03T20:28:00,133,Sala Tramuntana Meliá,True,False,2024-10-03,5850-film,Bury Your Dead,Enterre Seus Mortos,2024,128,Marco Dutra,"Filmmaker who studied at the University of São Paulo, known for his films co-directed with Juliana Rojas, such asHard Labor(2011) andGood Manners(2017).","Edgar Wilson, a worker who earns his living by collecting roadkill in rural Brazil, dreams of escaping his drab existence accompanied by Nete, the love of his life. At the same time that Nete decides to join a dangerous apocalyptic sect, Edgar will embark on a mind-bending journey through a dystopian Brazil. The new feature by the co-director of <em>Good Manners</em>, Critics' Award winner at Sitges 2017.","<strong>Director</strong><br />Marco Dutra&nbsp;<br /><strong>Writer</strong><br />Marco Dutra, Ana Paula Maia&nbsp;<br /><strong>Cinematography</strong><br />Rui Po&ccedil;as&nbsp;<br /><strong>Editor</strong><br />Bruno Lasevicius&nbsp;<br /><strong>With</strong><br />Selton Mello, Marjorie Estiano, Danilo Grangheia&nbsp;",Fiction,Oficial Fantàstic Competició,,,Feature film,Portuguese,Brazil,https://sitgesfilmfestival.com/en/film/2024/bury-your-dead
1638-film_session,2024-10-03T18:15:00,2024-10-03T20:20:00,125,Cinema Casino Prado,False,False,2024-10-03,6111-film,Diabolik ¿Quién eres? (Diabolik: Who Are You?),Diabolik - Chi sei?,2023,125,Antonio Manetti & Marco Manetti,"Popularly known as the Manetti Bros. they have directed films like Zora the Vampire (2000), Paura (2012) and Diabolik (2021).","Captured by a ruthless criminal gang, Diabolik and Ginko are locked in the same cell that appears to have no way out. Diabolik will make the most of the situation to explain his mysterious past to the inspector. Worried about their disappearance, both Eva Kant and Altea di Vallenberg will desperately search for Diabolik and Ginko. Third installment of the carefully crafted series inspired by the comics created by sisters Angela and Luciana Giussani.","<strong>Director</strong><br />Antonio Manetti, Marco Manetti<br /><strong>Writer</strong><br />Angela Giussani, Luciana Giussani, Antonio Manetti, Marco Manetti<br /><strong>Cinematography</strong><br />Angelo Sorrentino<br /><strong>Editor</strong><br />Federico Maria Maneschi<br /><strong>With</strong><br />Giacomo Gianniotti, Miriam Leone, Valerio Mastrandrea",Fiction,Òrbita,,,Feature film,Italian,Italy,https://sitgesfilmfestival.com/en/film/2024/diabolik-quien-eres-diabolik-who-are-you
1651-film_session,2024-10-03T18:45:00,2024-10-03T20:43:00,118,Cinema Escorxador,False,False,2024-10-03,5826-film,El vigilante nocturno (demonios heredados)  (Nightwatch: Demons Are Forever),Nattevagten - Dæmoner går i arv,2023,118,Ole Bornedal,,"It's no coincidence that Emma, a medical student, has accepted the night watch job in the forensic department. The reason? She wants to investigate what happened to her mother, who committed suicide when she was ten years old, and to her apathetic and traumatized father, a man who seems to hide a terrible secret. A direct sequel to the horror thriller <em>Nightwatch</em>, one of the most successful Danish films in history.","<strong>Director</strong><br />Ole Bornedal<br /><strong>Writer</strong><br />Ole Bornedal<br /><strong>Cinematography</strong><br />Lasse Frank Johannessen<br /><strong>Editor</strong><br />Anders Villadsen<br /><strong>With</strong><br />Nikolaj Coster-Waldau, Kim Bodnia, Fanny Bornedal",Fiction,Panorama,,,Feature film,Danish,Denmark,https://sitgesfilmfestival.com/en/film/2024/vigilante-nocturno-demonios-heredados-nightwatch-demons-are-forever
1672-film_session,2024-10-03T19:00:00,2024-10-03T21:26:00,146,Sala Auditori Meliá,True,False,2024-10-03,6194-film,Presence,Presence,2023,84,Steven Soderbergh,,,,Fiction,Inauguració,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2024/presence
1919-film_session,2024-10-03T20:45:00,2024-10-03T22:44:00,119,Cinema Casino Prado,False,False,2024-10-03,6171-film,"I, The Executioner","I, The Executioner",2024,119,Ryoo Seung-wan,"Korean director and screenwriter known for films including No Blood No Tears (2002), The City of Violence (2006) and Escape from Mogadishu (2021).",,,Fiction,Òrbita,,,Feature film,Korean,Korea (the Republic of),https://sitgesfilmfestival.com/en/film/2024/executioner
1635-film_session,2024-10-03T21:00:00,2024-10-03T22:31:00,91,Sala Tramuntana Meliá,False,False,2024-10-03,6113-film,Desert Road,Desert Road,2023,91,Shannon Triplett,,"After crashing her car in the middle of the desert, a woman walks down the road in search of help. But without achieving her goal, she wakes up again in her car. Is she trapped in a loop? And if so, how will she get out of it? This unpredictable film, which had its world premiere at the past South by Southwest, presents a challenging crossover between intrigue and science fiction, with echoes of <em>The Endless</em>.","<strong>Director</strong><br />Shannon Triplett<br /><strong>Writer</strong><br />Shannon Triplett<br /><strong>Cinematography</strong><br />Nico Navia<br /><strong>Editor</strong><br />Joseph Kirkland<br /><strong>With</strong><br />Kristine Froseth, Beau Bridges, Frances Fisher",Fiction,Oficial Fantàstic Competició,,,Feature film,English,United States of America (the),https://sitgesfilmfestival.com/en/film/2024/desert-road
